symbol,instrument_key,open,high,low,close,volume,timestamp
HDFCBANK,NSE_EQ|INE040A01034,758.6,762.0,752.6,757.3,8282666,2021-08-17
HDFCBANK,NSE_EQ|INE040A01034,778.4,782.7,754.2,756.5,22985932,2021-08-18
HDFCBANK,NSE_EQ|INE040A01034,743.0,759.9,743.0,757.4,13150406,2021-08-20
HDFCBANK,NSE_EQ|INE040A01034,764.9,766.6,754.3,762.3,10843054,2021-08-23
HDFCBANK,NSE_EQ|INE040A01034,765.0,782.2,763.7,779.4,18381314,2021-08-24
HDFCBANK,NSE_EQ|INE040A01034,776.0,782.4,774.0,778.7,7727974,2021-08-25
HDFCBANK,NSE_EQ|INE040A01034,775.0,785.5,771.7,777.4,11119002,2021-08-26
HDFCBANK,NSE_EQ|INE040A01034,776.0,779.3,772.6,774.2,6382138,2021-08-27
HDFCBANK,NSE_EQ|INE040A01034,777.8,785.0,775.8,784.1,9049166,2021-08-30
HDFCBANK,NSE_EQ|INE040A01034,781.8,791.7,781.1,790.7,12062576,2021-08-31
HDFCBANK,NSE_EQ|INE040A01034,787.5,799.0,787.2,789.6,12422558,2021-09-01
HDFCBANK,NSE_EQ|INE040A01034,787.0,796.0,785.6,794.5,9618524,2021-09-02
HDFCBANK,NSE_EQ|INE040A01034,793.0,799.0,784.2,788.0,10735334,2021-09-03
HDFCBANK,NSE_EQ|INE040A01034,790.0,790.5,781.0,782.8,7876896,2021-09-06
HDFCBANK,NSE_EQ|INE040A01034,781.2,791.0,777.6,784.6,7245496,2021-09-07
HDFCBANK,NSE_EQ|INE040A01034,786.0,790.2,782.8,788.2,6724080,2021-09-08
HDFCBANK,NSE_EQ|INE040A01034,787.0,789.7,780.5,784.3,8250948,2021-09-09
HDFCBANK,NSE_EQ|INE040A01034,781.0,792.0,776.8,777.8,8959164,2021-09-13
HDFCBANK,NSE_EQ|INE040A01034,780.0,782.2,773.3,774.3,9758506,2021-09-14
HDFCBANK,NSE_EQ|INE040A01034,767.5,777.4,767.5,773.4,14822998,2021-09-15
HDFCBANK,NSE_EQ|INE040A01034,768.9,782.2,768.2,780.0,10260550,2021-09-16
HDFCBANK,NSE_EQ|INE040A01034,784.5,794.5,779.6,791.1,20498102,2021-09-17
HDFCBANK,NSE_EQ|INE040A01034,782.0,790.8,779.0,779.9,8781610,2021-09-20
HDFCBANK,NSE_EQ|INE040A01034,781.0,784.3,764.5,776.0,14774996,2021-09-21
HDFCBANK,NSE_EQ|INE040A01034,774.5,775.1,765.0,766.8,10582202,2021-09-22
HDFCBANK,NSE_EQ|INE040A01034,771.0,786.0,771.0,785.0,13664304,2021-09-23
HDFCBANK,NSE_EQ|INE040A01034,789.5,804.0,787.5,800.8,20806702,2021-09-24
HDFCBANK,NSE_EQ|INE040A01034,807.8,817.8,804.0,812.6,16415462,2021-09-27
HDFCBANK,NSE_EQ|INE040A01034,816.0,816.0,791.0,807.5,12773790,2021-09-28
HDFCBANK,NSE_EQ|INE040A01034,798.5,803.3,792.6,796.9,16263036,2021-09-29
HDFCBANK,NSE_EQ|INE040A01034,793.0,803.2,791.6,797.5,15975348,2021-09-30
HDFCBANK,NSE_EQ|INE040A01034,791.5,794.5,782.6,791.4,11128596,2021-10-01
HDFCBANK,NSE_EQ|INE040A01034,794.5,800.7,791.8,792.9,7051028,2021-10-04
HDFCBANK,NSE_EQ|INE040A01034,796.0,798.8,788.1,797.7,10257178,2021-10-05
HDFCBANK,NSE_EQ|INE040A01034,798.0,813.4,793.5,807.4,18600830,2021-10-06
HDFCBANK,NSE_EQ|INE040A01034,813.3,813.8,803.5,805.2,11265724,2021-10-07
